Name,anomalies,node_shape,Amount,Year,Region,Product,x,y
徐州欣茂电子技术有限公司,0,circle,10.220818,2022,PRC,DT CPU,-0.43379617342702415,-0.575033610553332
昆明速泽科技,0,circle,10.534642,2022,PRC,DT CPU,-0.3793051496506764,-0.6170574592098327
西安文斯顿电子科技有限公司,0,circle,10.411028,2022,PRC,DT CPU,0.1367391044003081,-0.4714357625253957
郑州海森科技有限公司,0,circle,11.205348,2022,PRC,DT CPU,0.14610059395695413,-0.4115113096563791
鑫浩天（武汉）科技有限公司,0,circle,10.195714,2022,PRC,DT CPU,-0.3102390517485168,-0.6610428200898353
Synnex Technology Int'l Corp.,1,star,19.237211,2022,PRC,DT CPU,-0.27058587541818524,0.766521121810172
Beijing Zonekey Technology Ltd,0,circle,10.290497,2022,PRC,DT CPU,0.03483110537665501,0.9608274311154067
Futurerobot,0,circle,15.97864,2022,PRC,DT CPU,-0.03569123294401347,0.9808506916402913
Hikvision,0,circle,11.875785,2022,PRC,DT CPU,-0.11041851545822373,0.9943451908071635
Honghe,0,circle,10.664393,2022,PRC,DT CPU,-0.19075825354130432,1.0
"Qingdao Wintec System Co., Ltd.",0,circle,19.182463,2022,PRC,DT CPU,-0.27728872955438016,0.9941995165678208
Ruijie Networks,0,circle,23.563782,2022,PRC,DT CPU,-0.3654623441600443,0.9731169552524422
"SHENZHEN ZRT Industrial Co.,Ltd",0,circle,17.290474,2022,PRC,DT CPU,-0.44664408856271814,0.9385119107276522
Tiandy,0,circle,11.722013,2022,PRC,DT CPU,-0.517730759708084,0.8958478303831728
Uzel,0,circle,20.941345,2022,PRC,DT CPU,-0.58068893626164,0.848106824280882
深圳市集和诚科技开发有限公司,0,circle,14.840652,2022,PRC,DT CPU,-0.6373543446627563,0.7956290037745171
Synnex Technology International Corp.,0,star,10.728421,2022,PRC,DT CPU,-0.11640299653924949,-0.19706567088955296
J&w,0,circle,11.68766,2022,PRC,DT CPU,-0.2879991929810559,-0.013717273726001877
"Shenzhen Chiphd Technology Co.,ltd",0,circle,10.073451,2022,PRC,DT CPU,-0.2994267321736024,-0.3690374931884692
Weibu,0,circle,10.956449,2022,PRC,DT CPU,0.05486105780493191,-0.38070729976230494
七彩虹科技发展有限公司,0,circle,12.964234,2022,PRC,DT CPU,0.06672571894493246,-0.025280327879620486
Synnex Technology Intl. (HK) Limited,0,star,15.229879,2022,PRC,DT CPU,-0.08071117152495799,-0.21416408527117003
北京云钦科技有限公司,0,circle,11.490642,2022,PRC,DT CPU,-0.1799538072440219,0.027043550667605082
北京鑫合众金科技有限公司,0,circle,10.099006,2022,PRC,DT CPU,-0.33923192438030514,-0.17940086746884595
和合.行电子科技有限公司,0,circle,18.38124,2022,PRC,DT CPU,-0.23999950267407455,-0.4207241882067271
武汉攀升兄弟科技有限公司,0,circle,35.55699,2022,PRC,DT CPU,0.01878497035788765,-0.4552948190901474
深圳市未名科技有限公司,0,circle,10.096196,2022,PRC,DT CPU,0.17785520329343033,-0.2484131231140258
